idx,full_addr,sido_nm,sigungu_nm,dong_nm,legal_cd,fclt_nm,is_wide
1,서울특별시 강남구 개포동,서울특별시,강남구,개포동,1168010300,암사,False
2,서울특별시 강남구 논현동,서울특별시,강남구,논현동,1168010800,암사,False
3,서울특별시 강남구 대치동,서울특별시,강남구,대치동,1168010600,암사,False
4,서울특별시 강남구 도곡동,서울특별시,강남구,도곡동,1168011800,암사,False
5,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동,1168010500,암사,False
6,서울특별시 강남구 세곡동,서울특별시,강남구,세곡동,1168011100,암사,False
7,서울특별시 강남구 수서동,서울특별시,강남구,수서동,1168011500,암사,False
8,서울특별시 강남구 신사동,서울특별시,강남구,신사동,1168010700,암사,False
9,서울특별시 강남구 압구정동,서울특별시,강남구,압구정동,1168011000,암사,False
10,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,1168010100,암사,False
11,서울특별시 강남구 율현동,서울특별시,강남구,율현동,1168011300,암사,False
12,서울특별시 강남구 일원동,서울특별시,강남구,일원동,1168011400,암사,False
13,서울특별시 강남구 자곡동,서울특별시,강남구,자곡동,1168011200,암사,False
14,서울특별시 강남구 청담동,서울특별시,강남구,청담동,1168010400,암사,False
15,서울특별시 강동구 강일동,서울특별시,강동구,강일동,1174011000,암사,False
16,서울특별시 강동구 고덕동,서울특별시,강동구,고덕동,1174010200,암사,False
17,서울특별시 강동구 길동,서울특별시,강동구,길동,1174010500,광암,False
18,서울특별시 강동구 둔촌동,서울특별시,강동구,둔촌동,1174010600,암사,False
19,서울특별시 강동구 명일동,서울특별시,강동구,명일동,1174010100,암사,False
20,서울특별시 강동구 상일동,서울특별시,강동구,상일동,1174010300,암사,False
21,서울특별시 강동구 성내동,서울특별시,강동구,성내동,1174010800,광암,False
22,서울특별시 강동구 암사동,서울특별시,강동구,암사동,1174010700,암사,False
23,서울특별시 강동구 천호동,서울특별시,강동구,천호동,1174010900,암사,False
24,서울특별시 강북구 미아동,서울특별시,강북구,미아동,1130510100,강북,False
25,서울특별시 강북구 번동,서울특별시,강북구,번동,1130510200,강북,False
26,서울특별시 강북구 수유동,서울특별시,강북구,수유동,1130510300,영등포,False
27,서울특별시 강북구 우이동,서울특별시,강북구,우이동,1130510400,강북,False
28,서울특별시 강서구 가양동,서울특별시,강서구,가양동,1150010400,강북,False
29,서울특별시 강서구 개화동,서울특별시,강서구,개화동,1150011000,영등포,False
30,서울특별시 강서구 공항동,서울특별시,강서구,공항동,1150010800,영등포,False
31,서울특별시 강서구 과해동,서울특별시,강서구,과해동,1150011100,영등포,False
32,서울특별시 강서구 내발산동,서울특별시,강서구,내발산동,1150010600,영등포,False
33,서울특별시 강서구 등촌동,서울특별시,강서구,등촌동,1150010200,영등포,False
34,서울특별시 강서구 마곡동,서울특별시,강서구,마곡동,1150010500,영등포,False
35,서울특별시 강서구 방화동,서울특별시,강서구,방화동,1150010900,영등포,False
36,서울특별시 강서구 염창동,서울특별시,강서구,염창동,1150010100,영등포,False
37,서울특별시 강서구 오곡동,서울특별시,강서구,오곡동,1150011200,영등포,False
38,서울특별시 강서구 오쇠동,서울특별시,강서구,오쇠동,1150011300,영등포,False
39,서울특별시 강서구 외발산동,서울특별시,강서구,외발산동,1150010700,영등포,False
40,서울특별시 강서구 화곡동,서울특별시,강서구,화곡동,1150010300,암사,False
41,서울특별시 관악구 남현동,서울특별시,관악구,남현동,1162010300,영등포,False
42,서울특별시 관악구 봉천동,서울특별시,관악구,봉천동,1162010100,암사,False
43,서울특별시 관악구 신림동,서울특별시,관악구,신림동,1162010200,암사,False
44,서울특별시 광진구 광장동,서울특별시,광진구,광장동,1121510400,암사,False
45,서울특별시 광진구 구의동,서울특별시,광진구,구의동,1121510300,암사,False
46,서울특별시 광진구 군자동,서울특별시,광진구,군자동,1121510900,암사,False
47,서울특별시 광진구 능동,서울특별시,광진구,능동,1121510200,암사,False
48,서울특별시 광진구 자양동,서울특별시,광진구,자양동,1121510500,암사,False
49,서울특별시 광진구 중곡동,서울특별시,광진구,중곡동,1121510100,암사,False
50,서울특별시 광진구 화양동,서울특별시,광진구,화양동,1121510700,암사,False
51,서울특별시 구로구 가리봉동,서울특별시,구로구,가리봉동,1153010300,영등포,False
52,서울특별시 구로구 개봉동,서울특별시,구로구,개봉동,1153010700,영등포,False
53,서울특별시 구로구 고척동,서울특별시,구로구,고척동,1153010600,영등포,False
54,서울특별시 구로구 구로동,서울특별시,구로구,구로동,1153010200,영등포,False
55,서울특별시 구로구 궁동,서울특별시,구로구,궁동,1153010900,영등포,False
56,서울특별시 구로구 신도림동,서울특별시,구로구,신도림동,1153010100,영등포,False
57,서울특별시 구로구 오류동,서울특별시,구로구,오류동,1153010800,영등포,False
58,서울특별시 구로구 온수동,서울특별시,구로구,온수동,1153011000,영등포,False
59,서울특별시 구로구 천왕동,서울특별시,구로구,천왕동,1153011100,영등포,False
60,서울특별시 구로구 항동,서울특별시,구로구,항동,1153011200,영등포,False
61,서울특별시 금천구 가산동,서울특별시,금천구,가산동,1154510100,영등포,False
62,서울특별시 금천구 독산동,서울특별시,금천구,독산동,1154510200,영등포,False
63,서울특별시 금천구 시흥동,서울특별시,금천구,시흥동,1154510300,영등포,False
64,서울특별시 노원구 공릉동,서울특별시,노원구,공릉동,1135010300,강북,False
65,서울특별시 노원구 상계동,서울특별시,노원구,상계동,1135010500,강북,False
66,서울특별시 노원구 월계동,서울특별시,노원구,월계동,1135010200,강북,False
67,서울특별시 노원구 중계동,서울특별시,노원구,중계동,1135010600,강북,False
68,서울특별시 노원구 하계동,서울특별시,노원구,하계동,1135010400,강북,False
69,서울특별시 도봉구 도봉동,서울특별시,도봉구,도봉동,1132010800,강북,False
70,서울특별시 도봉구 방학동,서울특별시,도봉구,방학동,1132010600,강북,False
71,서울특별시 도봉구 쌍문동,서울특별시,도봉구,쌍문동,1132010500,강북,False
72,서울특별시 도봉구 창동,서울특별시,도봉구,창동,1132010700,강북,False
73,서울특별시 동대문구 답십리동,서울특별시,동대문구,답십리동,1123010500,강북,False
74,서울특별시 동대문구 신설동,서울특별시,동대문구,신설동,1123010100,강북,False
75,서울특별시 동대문구 용두동,서울특별시,동대문구,용두동,1123010200,강북,False
76,서울특별시 동대문구 이문동,서울특별시,동대문구,이문동,1123011000,강북,False
77,서울특별시 동대문구 장안동,서울특별시,동대문구,장안동,1123010600,강북,False
78,서울특별시 동대문구 전농동,서울특별시,동대문구,전농동,1123010400,강북,False
79,서울특별시 동대문구 제기동,서울특별시,동대문구,제기동,1123010300,강북,False
80,서울특별시 동대문구 청량리동,서울특별시,동대문구,청량리동,1123010700,강북,False
81,서울특별시 동대문구 회기동,서울특별시,동대문구,회기동,1123010800,암사,False
82,서울특별시 동대문구 휘경동,서울특별시,동대문구,휘경동,1123010900,강북,False
83,서울특별시 동작구 노량진동,서울특별시,동작구,노량진동,1159010100,암사,False
84,서울특별시 동작구 대방동,서울특별시,동작구,대방동,1159010800,강북,False
85,서울특별시 동작구 동작동,서울특별시,동작구,동작동,1159010600,암사,False
86,서울특별시 동작구 본동,서울특별시,동작구,본동,1159010400,암사,False
87,서울특별시 동작구 사당동,서울특별시,동작구,사당동,1159010700,암사,False
88,서울특별시 동작구 상도1동,서울특별시,동작구,상도1동,1159010300,암사,False
89,서울특별시 동작구 상도동,서울특별시,동작구,상도동,1159010200,암사,False
90,서울특별시 동작구 신대방동,서울특별시,동작구,신대방동,1159010900,암사,False
91,서울특별시 동작구 흑석동,서울특별시,동작구,흑석동,1159010500,뚝도,False
92,서울특별시 마포구 공덕동,서울특별시,마포구,공덕동,1144010200,암사,False
93,서울특별시 마포구 구수동,서울특별시,마포구,구수동,1144011300,뚝도,False
94,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,1144011000,뚝도,False
95,서울특별시 마포구 당인동,서울특별시,마포구,당인동,1144011800,뚝도,False
96,서울특별시 마포구 대흥동,서울특별시,마포구,대흥동,1144010800,뚝도,False
97,서울특별시 마포구 도화동,서울특별시,마포구,도화동,1144010400,뚝도,False
98,서울특별시 마포구 동교동,서울특별시,마포구,동교동,1144012100,뚝도,False
