pfcn_plnt_nm,sido_nm,ctpr_cd,adstrd_nm,adstrd_cd,legaldong_cd,legaldong_nm
가은정수장,경상북도,문경시,가은읍,4728025300,47280253,가은읍
가은정수장,경상북도,문경시,농암면,4728037000,47280370,농암면
가조정수장,경상남도,거창군,가조면,4888040000,48880400,가조면
가창정수장,대구광역시,달성군,가창면,2771031000,27710310,가창면
가창정수장,대구광역시,대구광역시,두산동,2726064000,27260111,두산동
가창정수장,대구광역시,대구광역시,범물1동,2726066100,27260113,범물동
가창정수장,대구광역시,대구광역시,범물2동,2726066200,27260113,범물동
가창정수장,대구광역시,대구광역시,상동,2726062000,27260109,상동
가창정수장,대구광역시,대구광역시,지산1동,2726065100,27260112,지산동
가창정수장,대구광역시,대구광역시,지산2동,2726065200,27260112,지산동
가창정수장,대구광역시,대구광역시,파동,2726063000,27260110,파동
가천정수장,경상북도,성주군,가천면,4784034000,47840340,가천면
가천정수장,경상북도,성주군,금수면,4784035000,47840350,금수면
가평통합정수장,경기도,가평군,가평읍,4182025000,41820250,가평읍
가평통합정수장,경기도,가평군,북면,4182035000,41820350,북면
가평통합정수장,경기도,가평군,청평면,4182032500,41820325,청평면
가흥정수장,경상북도,영주시,가흥1동,4721062000,47210105,가흥동
가흥정수장,경상북도,영주시,가흥2동,4721063000,47210105,가흥동
가흥정수장,경상북도,영주시,단산면,4721038000,47210380,단산면
가흥정수장,경상북도,영주시,문수면,4721033000,47210330,문수면
가흥정수장,경상북도,영주시,봉현면,4721036000,47210360,봉현면
가흥정수장,경상북도,영주시,상망동,4721051000,47210102,상망동
가흥정수장,경상북도,영주시,안정면,4721035000,47210350,안정면
가흥정수장,경상북도,영주시,영주1동,4721055000,47210101,영주동
가흥정수장,경상북도,영주시,영주2동,4721056000,47210101,영주동
가흥정수장,경상북도,영주시,이산면,4721031000,47210310,이산면
가흥정수장,경상북도,영주시,장수면,4721034000,47210340,장수면
가흥정수장,경상북도,영주시,하망동,4721052500,47210103,하망동
가흥정수장,경상북도,영주시,휴천1동,4721059000,47210104,휴천동
가흥정수장,경상북도,영주시,휴천2동,4721060000,47210104,휴천동
가흥정수장,경상북도,영주시,휴천3동,4721061000,47210104,휴천동
갈말정수장,강원도,철원군,갈말읍,4278025600,42780256,갈말읍
갈평정수장,경상북도,포항시,동해면,4711132000,47111320,동해면
갈평정수장,경상북도,포항시,오천읍,4711125600,47111256,오천읍
감천정수장,경상북도,예천군,감천면,4790034000,47900340,감천면
감천정수장,경상북도,예천군,보문면,4790035000,47900350,보문면
감포정수장,경상북도,경주시,감포읍,4713025000,47130250,감포읍
감포정수장,경상북도,경주시,양남면,4713032000,47130320,양남면
감포정수장,경상북도,경주시,양북면,4713031000,47130310,양북면
강북정수장,경기도,구리시,갈매동,4131051000,41310101,갈매동
강북정수장,경기도,구리시,수택1동,4131057000,41310104,교문동
강북정수장,경기도,구리시,수택2동,4131058000,41310104,교문동
강북정수장,경기도,구리시,수택3동,4131059000,41310105,수택동
강북정수장,경기도,남양주시,금곡동,4136053000,41360103,금곡동
강북정수장,경기도,남양주시,양정동,4136054000,41360104,일패동
강북정수장,경기도,남양주시,평내동,4136052000,41360102,평내동
강북정수장,서울특별시,서울특별시,갈현1동,1138055100,11380104,갈현동
강북정수장,서울특별시,서울특별시,갈현2동,1138055200,11380104,갈현동
강북정수장,서울특별시,서울특별시,공릉1동,1135059500,11350103,공릉동
강북정수장,서울특별시,서울특별시,공릉2동,1135060000,11350103,공릉동
강북정수장,서울특별시,서울특별시,구산동,1138056000,11380105,구산동
강북정수장,서울특별시,서울특별시,길음1동,1129066000,11290134,길음동
강북정수장,서울특별시,서울특별시,길음2동,1129068500,11290134,길음동
강북정수장,서울특별시,서울특별시,남가좌1동,1141069000,11410120,남가좌동
강북정수장,서울특별시,서울특별시,남가좌2동,1141070000,11410120,남가좌동
강북정수장,서울특별시,서울특별시,녹번동,1138051000,11380102,녹번동
강북정수장,서울특별시,서울특별시,답십리1동,1123060000,11230105,답십리동
강북정수장,서울특별시,서울특별시,답십리2동,1123061000,11230105,답십리동
강북정수장,서울특별시,서울특별시,대조동,1138057000,11380106,대조동
강북정수장,서울특별시,서울특별시,도봉1동,1132052100,11320108,도봉동
강북정수장,서울특별시,서울특별시,도봉2동,1132052200,11320108,도봉동
강북정수장,서울특별시,서울특별시,돈암1동,1129058000,11290103,돈암동
강북정수장,서울특별시,서울특별시,돈암2동,1129059000,11290103,돈암동
강북정수장,서울특별시,서울특별시,동선동,1129057500,11290103,돈암동
강북정수장,서울특별시,서울특별시,묵1동,1126062000,11260104,묵동
강북정수장,서울특별시,서울특별시,묵2동,1126063000,11260104,묵동
강북정수장,서울특별시,서울특별시,방학1동,1132069000,11320106,방학동
강북정수장,서울특별시,서울특별시,방학2동,1132070000,11320106,방학동
강북정수장,서울특별시,서울특별시,방학3동,1132071000,11320106,방학동
강북정수장,서울특별시,서울특별시,보문동,1129061000,11290126,보문동4가
강북정수장,서울특별시,서울특별시,부암동,1111055000,11110184,부암동
강북정수장,서울특별시,서울특별시,북가좌1동,1141071000,11410119,북가좌동
강북정수장,서울특별시,서울특별시,북가좌2동,1141072000,11410119,북가좌동
강북정수장,서울특별시,서울특별시,불광1동,1138052000,11380103,불광동
강북정수장,서울특별시,서울특별시,불광2동,1138053000,11380103,불광동
강북정수장,서울특별시,서울특별시,삼각산동,1130557500,11305101,미아동
강북정수장,서울특별시,서울특별시,삼선동,1129055500,11290105,동소문동2가
강북정수장,서울특별시,서울특별시,삼양동,1130553400,11305101,미아동
강북정수장,서울특별시,서울특별시,상계10동,1135072000,11350105,상계동
강북정수장,서울특별시,서울특별시,상계1동,1135063000,11350105,상계동
강북정수장,서울특별시,서울특별시,상계2동,1135064000,11350105,상계동
강북정수장,서울특별시,서울특별시,상계3·4동,1135066500,11350105,상계동
강북정수장,서울특별시,서울특별시,상계5동,1135067000,11350105,상계동
강북정수장,서울특별시,서울특별시,상계6·7동,1135069500,11350105,상계동
강북정수장,서울특별시,서울특별시,상계8동,1135070000,11350105,상계동
강북정수장,서울특별시,서울특별시,상계9동,1135071000,11350105,상계동
강북정수장,서울특별시,서울특별시,상봉1동,1126058000,11260102,상봉동
강북정수장,서울특별시,서울특별시,석관동,1129081000,11290139,석관동
강북정수장,서울특별시,서울특별시,성북동,1129052500,11290101,성북동
